data.tag	low	auc	high
nash_wong_NASH	0.386113698636373	0.578125	0.770136301363627
t1d_mejialeon_T1D	0.538799067311918	0.773809523809524	1
asd_kang_ASD	0.564294129412336	0.728947368421053	0.89360060742977
hiv_dinh_HIV	0.370594943719045	0.565079365079365	0.759563786439685
crc_chen_CRC	0.582637050965239	0.733766233766234	0.884895416567229
liv_zhang_CIRR	0.638999787546214	0.7712	0.903400212453786
hiv_lozupone_HIV	0.820447767355944	0.919732441471572	1
nash_zhu_NASH	0.809320432784428	0.931818181818182	1
ob_zhu_OB	0.696624933326985	0.845	0.993375066673015
cdi_vincent_CDI	0.836395167315886	0.912	0.987604832684114
crc_wang_CRC	0.816317806167982	0.890782828282828	0.965247850397674
ibd_willing_CD_UC	0.596129748608071	0.711111111111111	0.826092473614151
ibd_papa_CD_UC	0.713598465694633	0.809974747474747	0.906351029254862
ob_ross_OB	0.499617410231123	0.639293139293139	0.778968868355155
art_scher_RA	0.474222139547904	0.59515306122449	0.716083982901076
ibd_morgan_CD_UC	0.751658091344187	0.843621399176955	0.935584707009722
asd_son_ASD	0.453955754080516	0.568567026194145	0.683178298307773
par_scheperjans_PAR	0.594833959773768	0.680880204528853	0.766926449283939
t1d_alkanani_T1D	0.614050472061179	0.710845295055821	0.807640118050464
ob_zupancic_OB	0.500637788448988	0.580909653465347	0.661181518481705
ibd_gevers_CD	0.567959339562613	0.697131849315068	0.826304359067524
crc_zeller_CRC	0.734535372270148	0.816585365853658	0.898635359437169
ob_turnbaugh_OB	0.821471494071001	0.867717528373266	0.913963562675531
edd_singh_EDD	0.930515529123995	0.952432957165393	0.97435038520679
hiv_noguerajulian_HIV	0.575333954239864	0.667575322812052	0.75981669138424
crc_baxter_CRC	0.715551284701093	0.771584302325581	0.827617319950069
ob_goodrich_OB	0.589271515501606	0.638412477898459	0.687553440295312
cdi_schubert_CDI	0.981089064369376	0.989317134478425	0.997545204587474
